bird_id,brain_ug_g,brain_mass_mg,brain_mass_g,brain_ug_hg,gas_ug_g,gas_mass_mg,gas_mass_g,gas_ug_hg,gi_ug_g,gi_mass_mg,gi_mass_g,gi_ug_hg,heart_ug_g,heart_mass_mg,heart_mass_g,heart_ug_hg,liver_ug_g,liver_mass_mg,liver_mass_g,liver_ug_hg,pec_ug_g,pec_mass_mg,pec_mass_g,pec_ug_hg,wb_ug_g,wb_mass_mg,wb_mass_g,wb_ug_hg,lung_ug_g,lung_mass_mg,lung_mass_g,lung_ug_hg,testes_ug_g,testes_mass_mg,testes_mass_g,testes_ug_hg,sum hg content_ug,sum dry mass_g,total body burden ug_g,sex,age
1,0.488,NA,NA,NA,0.383,311.9,0.312,0.119496,0.232,1940.3,1.9403,0.4501496,0.384,253.3,0.2533,0.0972672,0.708,494.6,0.4946,0.3501768,0.218,1746.7,1.7467,0.3807806,0.183,11645.9,11.6459,2.1311997,NA,NA,NA,NA,NA,NA,NA,NA,3.5290699,16.3928,0.215281703,F,asy
2,0.265,139.8,0.14,0.0371,0.107,299.8,0.3,0.0321,0.214,622.3,0.6223,0.1331722,0.241,254.6,0.2546,0.0613586,0.344,335.1,0.3351,0.1152744,0.147,2428.5,2.4285,0.3569895,0.098,23560.7,23.5607,2.3089486,NA,NA,NA,NA,NA,NA,NA,NA,3.0449433,27.6412,0.110159591,F,asy
3,0.334,201.3,0.201,0.067134,0.336,274,0.274,0.092064,0.324,484.6,0.4846,0.1570104,0.293,243.8,0.2438,0.0714334,0.706,229.4,0.2294,0.1619564,0.197,2028,2.028,0.399516,0.137,2020.2,2.0202,0.2767674,NA,NA,NA,NA,NA,32.9,0.0329,NA,1.2258816,5.5139,0.222325686,M,asy
4,0.585,149,0.149,0.087165,0.373,214.6,0.215,0.080195,NA,NA,NA,NA,0.514,186.1,0.1861,0.0956554,NA,NA,NA,NA,0.721,843.9,0.8439,0.6084519,0.37,6389.2,6.3892,2.364004,NA,NA,NA,NA,NA,NA,NA,NA,3.2354713,7.7832,0.415699365,F,asy
5,0.468,137.3,0.137,0.064116,0.53,190.6,0.191,0.10123,0.234,1503.7,1.5037,0.3518658,0.296,135.6,0.1356,0.0401376,0.879,205.7,0.2057,0.1808103,0.474,683.1,0.6831,0.3237894,0.313,5857.1,5.8571,1.8332723,NA,NA,NA,NA,NA,NA,NA,NA,2.8952214,8.7132,0.33227992,M,asy
6,0.369,139.1,0.139,0.051291,0.245,146.9,0.147,0.036015,0.183,1477.9,1.4779,0.2704557,0.396,161.8,0.1618,0.0640728,0.433,163.3,0.1633,0.0707089,0.31,759.4,0.7594,0.235414,0.219,6083.2,6.0832,1.3322208,NA,NA,NA,NA,NA,NA,NA,NA,2.0601782,8.9316,0.230661718,M,asy
7,0.689,147.2,0.147,0.101283,0.51,206.6,0.207,0.10557,0.269,1417.7,1.4177,0.3813613,0.678,135.3,0.1353,0.0917334,1.105,189.2,0.1892,0.209066,0.139,1096.9,1.0969,0.1524691,0.394,5850.2,5.8502,2.3049788,NA,NA,NA,NA,NA,32,0.032,NA,3.3464616,9.0753,0.368743909,M,asy
8,0.389,104.5,0.105,0.040845,0.288,170.2,0.17,0.04896,0.243,1424.4,1.4244,0.3461292,0.333,143.6,0.1436,0.0478188,0.517,284.8,0.2848,0.1472416,0.207,775,0.775,0.160425,0.246,5888.8,5.8888,1.4486448,NA,NA,NA,NA,NA,NA,NA,NA,2.2400644,8.7916,0.254795987,F,asy
9,0.441,122.6,0.123,0.054243,0.226,176.6,0.177,0.040002,0.198,1032.2,1.0322,0.2043756,0.428,140.4,0.1404,0.0600912,0.822,166.3,0.1663,0.1366986,0.379,1051.8,1.0518,0.3986322,0.185,5742.3,5.7423,1.0623255,NA,NA,NA,NA,NA,NA,NA,NA,1.9563681,8.433,0.231989577,M,asy
11,0.87,114.4,0.114,0.09918,0.678,137.2,0.137,0.092886,0.321,792.9,0.7929,0.2545209,0.776,132.7,0.1327,0.1029752,1.242,217.7,0.2177,0.2703834,0.61,807.6,0.8076,0.492636,0.514,6282.4,6.2824,3.2291536,0.847,142.2,0.1422,0.1204434,NA,NA,NA,NA,4.6621785,8.6265,0.540448444,M,asy
12,0.029,76.1,0.076,0.002204,0.412,188.8,0.189,0.077868,0.404,1224.6,1.2246,0.4947384,0.192,167.9,0.1679,0.0322368,0.872,138.5,0.1385,0.120772,0.449,955,0.955,0.428795,0.22,6007.4,6.0074,1.321628,NA,NA,NA,NA,0.64,40.6,0.0406,0.025984,2.5042262,8.799,0.2846035,M,asy
13,0.299,126.7,0.127,0.037973,0.729,152,0.152,0.110808,0.722,946.8,0.9468,0.6835896,0.753,159.1,0.1591,0.1198023,1.043,158.4,0.1584,0.1652112,0.692,995.4,0.9954,0.6888168,0.625,5470.2,5.4702,3.418875,0.794,151.5,0.1515,0.120291,NA,NA,NA,NA,5.3453669,8.1604,0.655037363,F,asy
14,0.493,163.1,0.163,0.080359,0.375,160.7,0.161,0.060375,0.69,666.2,0.6662,0.459678,0.579,120.9,0.1209,0.0700011,0.757,148.7,0.1487,0.1125659,0.536,685,0.685,0.36716,0.384,5795.8,5.7958,2.2255872,0.518,93.4,0.0934,0.0483812,NA,NA,NA,NA,3.4241074,7.834,0.437082895,M,asy
