bird_id,rr,rl,crown,pr,pl,dorsal,breast,sex,age
1,1.577,1.971,,0.701,0.748,1.649,1.889,F,asy
2,1.589,1.36,,1.127,1.239,1.913,2.309,F,asy
3,1.173,1.319,,1.302,1.137,1.818,2.061,M,asy
4,1.627,1.698,4.071,1.411,1.354,1.546,1.758,F,asy
5,1.899,1.618,1.395,1.282,1.124,2.142,2.32,M,asy
6,2.529,2.645,1.809,0.789,0.632,1.604,1.74,M,asy
7,1.783,1.752,2.27,1.756,1.836,2.975,2.569,M,asy
8,1.472,1.371,2.108,1.15,1.037,2.023,1.949,F,asy
9,1.759,3.128,3.432,2.123,2.154,2.568,3.446,M,asy
11,3.16,3.103,2.795,2.379,2.225,3.343,,M,asy
12,2.246,1.261,1.786,1.288,1.437,1.66,1.849,M,asy
13,3.452,3.171,4.621,2.255,2.219,3.323,4.01,F,asy
14,2.201,1.921,2.634,1.729,1.704,2.852,2.392,M,asy
15,1.834,2,,2.593,2.812,3.91,4.56,F,asy
16,1.457,1.215,1.899,0.9785,0.943,1.309,1.353,M,asy
17,1.458,1.927,0.91,0.655,0.737,1.684,1.987,F,asy
18,2.289,2.256,,3.371,3.745,2.786,3.175,F,sy
19,2.095,1.323,1.98,1.722,1.539,1.437,2.204,F,asy
20,0.743,0.713,,2.054,2.359,1.546,1.312,F,asy
21,2.544,2.818,,2.143,2.174,3.599,3.233,M,asy
22,0.586,0.767,1.246,1.337,1.384,1.825,2.238,F,asy
23,1.833,2.171,5.903,4.502,4.339,4.716,3.109,M,asy
24,1.497,1.677,1.058,1.417,1.312,1.565,2.573,M,asy
25,1.254,0.95,2.411,1.805,1.702,2.368,2.187,M,asy
26,2.143,1.901,1.151,0.845,0.746,1.478,2.005,M,asy
27,1.356,1.304,1.44,0.825,0.905,1.26,1.352,M,asy
28,1.584,1.643,1.736,0.924,0.821,2.002,1.86,F,asy
29,1.226,1.357,2.666,1.074,1.051,2.039,,M,asy
30,1.156,1.257,,2.7,3.16,2.159,1.965,M,asy
31,1.386,1.185,,2.216,2.871,2.092,2.051,M,sy
32,0.905,1.041,2.209,1.067,1.13,1.419,1.281,M,sy
33,1.675,2.209,1.147,0.769,0.718,2.16,2.427,F,asy
34,1.424,1.438,,2.121,2.027,2.184,2.192,M,sy
35,1.28,0.975,,1.927,2.12,1.5,1.553,F,sy
36,2.827,2.937,5.535,6.036,5.099,3.075,2.94,F,sy
37,2.6675,2.327,1.0405,0.654,0.668,2.005,2.835,F,asy
38,3.845,4.245,,6.109,6.561,2.517,3.506,F,sy
39,1.721,1.957,1.964,0.631,0.611,1.461,1.555,F,asy
40,1.175,1.075,1.836,1.401,1.603,1.752,2.249,M,asy
41,1.544,1.407,,2.477,1.976,2.493,2.861,M,asy
42,1.728,1.699,2.758,1.596,1.752,2.248,2.239,F,asy
43,1.244,1.133,1.606,1.111,1.044,1.927,1.688,F,sy
44,1.829,1.657,4.611,3.83,3.712,3.097,2.557,F,asy
45,2.586,2.709,3.011,1.954,2.115,2.731,2.592,M,asy
46,2.338,2.513,3.188,1.843,1.862,2.537,2.967,F,asy
47,1.639,1.587,4.013,2.55,2.391,2.639,2.388,F,asy
48,2.448,2.276,3.319,2.139,2.196,2.211,2.328,F,asy
49,1.111,1.091,1.005,0.656,0.783,1.116,1.413,F,asy
50,0.878,0.93,2.263,2.135,1.85,1.018,0.913,F,asy
51,3.13,3.138,2.643,2.173,1.889,2.981,3.953,F,asy
52,1.731,2.026,1.781,1.889,1.771,2.331,2.805,M,asy
53,0.95,1.066,2.501,2.517,2.453,1.008,1.12,F,sy
54,2.727,2.882,5.158,4.976,4.767,2.663,2.815,F,sy
55,1.623,1.727,,2.55,2.227,2.078,1.681,M,asy
56,1.083,2.043,,0.3705,0.406,1.406,1.627,M,asy
57,1.346,1.553,,1.168,1.368,1.464,1.596,M,asy
