Sample ID,Date,Time,Initial Sample Wt,Diluted To Vol.,Wt Units,Sample Prep Vol.,Vol Units,Analyte Name,Date,Time,Abs (Corr),RSD (Corr Abs),SD (Corr Abs),Conc (Calib),Conc (Samp),Reported Conc (Calib),Reported Conc (Samp),RSD (Conc),SD (Calib),SD (Samp),Units (Calib),Units (Samp),Repl No1,Date1,Time1,Repl No2,Date2,Time2,Repl No3,Date3,Time3
Calib Blank 1,12/11/2025,3:49:45 PM, , ,g, ,mL,Hg 253.7,12/11/2025,3:51:34 PM,-0.035008595,24.53822266,0.008590487, , ,[0.00], ,0,0, ,ug/L,ug/g,1,12/11/2025,3:50:32 PM,2,12/11/2025,3:51:03 PM,3,12/11/2025,3:51:34 PM
Calib Std 1,12/11/2025,3:52:15 PM, , ,g, ,mL,Hg 253.7,12/11/2025,3:54:05 PM,0.032742608,21.54543344,0.007054537, , ,[0.1], ,1.317089016e-006,1.317089016e-009, ,ug/L,ug/g,1,12/11/2025,3:53:05 PM,2,12/11/2025,3:53:35 PM,3,12/11/2025,3:54:05 PM
Calib Std 2,12/11/2025,3:54:47 PM, , ,g, ,mL,Hg 253.7,12/11/2025,3:56:38 PM,0.070425086,5.520121678,0.00388755, , ,[0.5], ,0,0, ,ug/L,ug/g,1,12/11/2025,3:55:37 PM,2,12/11/2025,3:56:07 PM,3,12/11/2025,3:56:38 PM
Calib Std 3,12/11/2025,3:57:20 PM, , ,g, ,mL,Hg 253.7,12/11/2025,3:59:10 PM,0.383740866,0.910408233,0.003493608, , ,[5], ,0,0, ,ug/L,ug/g,1,12/11/2025,3:58:10 PM,2,12/11/2025,3:58:40 PM,3,12/11/2025,3:59:10 PM
Calib Std 4,12/11/2025,3:59:52 PM, , ,g, ,mL,Hg 253.7,12/11/2025,4:01:44 PM,0.731335913,0.924082372,0.006758146, , ,[10], ,0,0, ,ug/L,ug/g,1,12/11/2025,4:00:43 PM,2,12/11/2025,4:01:13 PM,3,12/11/2025,4:01:44 PM
Reagent Blank 1,12/11/2025,4:03:09 PM, , ,g, ,mL,Hg 253.7,12/11/2025,4:03:58 PM,0.040296947, , ,0.195244791, ,0.195, , , , ,ug/L,ug/g,1,12/11/2025,4:03:58 PM,,,,,,
QAQC,12/11/2025,4:06:04 PM, , ,g, ,mL,Hg 253.7,12/11/2025,4:07:56 PM,0.094932058,11.0360131,0.010476714,0.90814, ,0.908, ,15.05310758,0.136703291, ,ug/L,ug/g,1,12/11/2025,4:06:55 PM,2,12/11/2025,4:07:26 PM,3,12/11/2025,4:07:56 PM
QAQC,12/11/2025,4:06:04 PM, , ,g, ,mL,Hg 253.7,12/11/2025,4:07:56 PM,0.094932058,11.0360131,0.010476714,0.90814, ,0.908, ,15.05310758,0.136703291, ,ug/L,ug/g,1,12/11/2025,4:06:55 PM,2,12/11/2025,4:07:26 PM,3,12/11/2025,4:07:56 PM
QAQC,12/11/2025,4:08:54 PM, , ,g, ,mL,Hg 253.7,12/11/2025,4:10:46 PM,0.102253922,1.320661329,0.001350428,1.003677851, ,1.004, ,1.755621774,0.017620787, ,ug/L,ug/g,1,12/11/2025,4:09:45 PM,2,12/11/2025,4:10:16 PM,3,12/11/2025,4:10:46 PM
27_lung,12/11/2025,4:11:29 PM,19.9, ,mg,20,mL,Hg 253.7,12/11/2025,4:13:18 PM,0.052666456,2.483891321,0.001308178,0.35664582,0.35843801,0.357,0.358,4.786118067,0.01706949,0.017155266,ug/L,ug/g,1,12/11/2025,4:12:18 PM,2,12/11/2025,4:12:48 PM,3,12/11/2025,4:13:18 PM
26_lung,12/11/2025,4:14:00 PM,20.2, ,mg,20,mL,Hg 253.7,12/11/2025,4:15:50 PM,0.052763672,1.558635496,0.000822393,0.357914328,0.354370622,0.358,0.354,2.998156883,0.010730833,0.010624587,ug/L,ug/g,1,12/11/2025,4:14:49 PM,2,12/11/2025,4:15:19 PM,3,12/11/2025,4:15:50 PM
26_gas,12/11/2025,4:16:31 PM,20.1, ,mg,20,mL,Hg 253.7,12/11/2025,4:18:22 PM,0.054025662,0.814364849,0.000439966,0.374381152,0.372518559,0.374,0.373,1.533412525,0.005740807,0.005712246,ug/L,ug/g,1,12/11/2025,4:17:21 PM,2,12/11/2025,4:17:51 PM,3,12/11/2025,4:18:22 PM
