Sample ID,Date,Time,Initial Sample Wt,Diluted To Vol.,Wt Units,Sample Prep Vol.,Vol Units,Analyte Name,Date,Time,Abs (Corr),RSD (Corr Abs),SD (Corr Abs),Conc (Calib),Conc (Samp),Reported Conc (Calib),Reported Conc (Samp),RSD (Conc),SD (Calib),SD (Samp),Units (Calib),Units (Samp),Repl No1,Date1,Time1,Repl No2,Date2,Time2,Repl No3,Date3,Time3
Calib Blank 1,12/13/2025,1:19:20 PM, , ,g, ,mL,Hg 253.7,12/13/2025,1:21:09 PM,-0.005141799,12.28681931,0.000631764, , ,[0.00], ,0,0, ,ug/L,ug/g,1,12/13/2025,1:20:09 PM,2,12/13/2025,1:20:39 PM,3,12/13/2025,1:21:09 PM
Calib Std 1,12/13/2025,1:21:51 PM, , ,g, ,mL,Hg 253.7,12/13/2025,1:23:40 PM,0.009905539,11.87445486,0.001176229, , ,[0.1], ,1.317089016e-006,1.317089016e-009, ,ug/L,ug/g,1,12/13/2025,1:22:40 PM,2,12/13/2025,1:23:10 PM,3,12/13/2025,1:23:40 PM
Calib Std 2,12/13/2025,1:24:22 PM, , ,g, ,mL,Hg 253.7,12/13/2025,1:26:12 PM,0.038663341,0.568759656,0.000219901, , ,[0.5], ,0,0, ,ug/L,ug/g,1,12/13/2025,1:25:12 PM,2,12/13/2025,1:25:42 PM,3,12/13/2025,1:26:12 PM
Calib Std 3,12/13/2025,1:26:54 PM, , ,g, ,mL,Hg 253.7,12/13/2025,1:28:44 PM,0.352225417,0.933207946,0.003286996, , ,[5], ,0,0, ,ug/L,ug/g,1,12/13/2025,1:27:44 PM,2,12/13/2025,1:28:14 PM,3,12/13/2025,1:28:44 PM
Calib Std 4,12/13/2025,1:29:27 PM, , ,g, ,mL,Hg 253.7,12/13/2025,1:31:18 PM,0.691018223,1.211066302,0.008368689, , ,[10], ,0,0, ,ug/L,ug/g,1,12/13/2025,1:30:18 PM,2,12/13/2025,1:30:48 PM,3,12/13/2025,1:31:18 PM
Reagent Blank 1,12/13/2025,2:29:10 PM, , ,g, ,mL,Hg 253.7,12/13/2025,2:30:58 PM,-0.00267082,76.22243773,0.002035764,-0.080225641, ,-0.08, ,36.28126949,0.029106881, ,ug/L,ug/g,1,12/13/2025,2:29:57 PM,2,12/13/2025,2:30:28 PM,3,12/13/2025,2:30:58 PM
QAQC,12/13/2025,2:31:40 PM, , ,g, ,mL,Hg 253.7,12/13/2025,2:33:00 PM,0.063543978,0.432421824,0.000274778,0.866497992, ,0.866, ,0.453401133,0.003928712, ,ug/L,ug/g,1,12/13/2025,2:32:30 PM,2,12/13/2025,2:33:00 PM,,,
Calib Blank 1,12/13/2025,2:35:49 PM, , ,g, ,mL,Hg 253.7,12/13/2025,2:37:39 PM,-0.000612738,91.76039787,0.000562251, , ,[0.00], ,0,0, ,ug/L,ug/g,1,12/13/2025,2:36:39 PM,2,12/13/2025,2:37:09 PM,3,12/13/2025,2:37:39 PM
Calib Std 1,12/13/2025,2:38:21 PM, , ,g, ,mL,Hg 253.7,12/13/2025,2:40:12 PM,0.005655638,3.898608483,0.000220491, , ,[0.1], ,1.317089016e-006,1.317089016e-009, ,ug/L,ug/g,1,12/13/2025,2:39:11 PM,2,12/13/2025,2:39:41 PM,3,12/13/2025,2:40:12 PM
Calib Std 2,12/13/2025,2:40:54 PM, , ,g, ,mL,Hg 253.7,12/13/2025,2:42:44 PM,0.032044727,4.132212444,0.001324156, , ,[0.5], ,0,0, ,ug/L,ug/g,1,12/13/2025,2:41:44 PM,2,12/13/2025,2:42:14 PM,3,12/13/2025,2:42:44 PM
